CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.097924,0.400000,0.400000,0.295143,0.295394,0.295410,0.295081,0.295079,
0.146469,0.400000,0.400000,0.309656,0.309907,0.309924,0.309601,0.309595,
0.116917,0.400000,0.400000,0.290221,0.290469,0.290486,0.290168,0.290170,
0.049411,0.400000,0.400000,0.262174,0.262421,0.262437,0.262118,0.262126,
0.038512,0.400000,0.400000,0.266009,0.266258,0.266274,0.265946,0.265953,
0.097790,0.400000,0.400000,0.295096,0.295346,0.295362,0.295034,0.295031,
0.146425,0.400000,0.400000,0.309661,0.309911,0.309929,0.309605,0.309599,
0.116957,0.400000,0.400000,0.290244,0.290492,0.290510,0.290190,0.290193,
0.049417,0.400000,0.400000,0.262167,0.262414,0.262430,0.262112,0.262120,
0.038428,0.400000,0.400000,0.265963,0.266212,0.266228,0.265901,0.265907,
0.097683,0.400000,0.400000,0.295053,0.295304,0.295320,0.294991,0.294987,
0.146386,0.400000,0.400000,0.309659,0.309909,0.309926,0.309601,0.309595,
0.117003,0.400000,0.400000,0.290269,0.290518,0.290534,0.290215,0.290219,
0.049446,0.400000,0.400000,0.262168,0.262415,0.262432,0.262112,0.262121,
0.038366,0.400000,0.400000,0.265925,0.266174,0.266190,0.265861,0.265869,
0.097587,0.400000,0.400000,0.295022,0.295271,0.295287,0.294958,0.294955,
0.146354,0.400000,0.400000,0.309657,0.309908,0.309924,0.309599,0.309594,
0.117048,0.400000,0.400000,0.290290,0.290539,0.290555,0.290235,0.290239,
0.049467,0.400000,0.400000,0.262168,0.262414,0.262431,0.262112,0.262121,
0.038315,0.400000,0.400000,0.265892,0.266141,0.266157,0.265829,0.265836,
0.097500,0.400000,0.400000,0.294920,0.295170,0.295187,0.294858,0.294855,
0.146331,0.400000,0.400000,0.309636,0.309886,0.309903,0.309579,0.309573,
0.117074,0.400000,0.400000,0.290312,0.290559,0.290577,0.290258,0.290260,
0.049494,0.400000,0.400000,0.262191,0.262437,0.262454,0.262134,0.262143,
0.038246,0.400000,0.400000,0.265866,0.266114,0.266130,0.265802,0.265810,
0.097386,0.400000,0.400000,0.294935,0.295185,0.295201,0.294873,0.294870,
0.146266,0.400000,0.400000,0.309640,0.309889,0.309907,0.309583,0.309578,
0.117134,0.400000,0.400000,0.290344,0.290592,0.290608,0.290290,0.290293,
0.049545,0.400000,0.400000,0.262203,0.262450,0.262465,0.262146,0.262155,
0.038202,0.400000,0.400000,0.265834,0.266083,0.266098,0.265770,0.265777,
0.097279,0.400000,0.400000,0.294902,0.295152,0.295168,0.294839,0.294836,
0.146244,0.400000,0.400000,0.309652,0.309902,0.309919,0.309595,0.309590,
0.117193,0.400000,0.400000,0.290372,0.290620,0.290638,0.290319,0.290322,
0.049587,0.400000,0.400000,0.262215,0.262461,0.262477,0.262158,0.262167,
0.038167,0.400000,0.400000,0.265810,0.266059,0.266075,0.265747,0.265754,
0.097227,0.400000,0.400000,0.294884,0.295133,0.295149,0.294821,0.294818,
0.146255,0.400000,0.400000,0.309665,0.309916,0.309933,0.309609,0.309603,
0.117277,0.400000,0.400000,0.290410,0.290658,0.290675,0.290356,0.290358,
0.049652,0.400000,0.400000,0.262231,0.262477,0.262493,0.262174,0.262181,
0.038157,0.400000,0.400000,0.265793,0.266041,0.266058,0.265729,0.265735,
0.097160,0.400000,0.400000,0.294836,0.295085,0.295101,0.294773,0.294769,
0.146218,0.400000,0.400000,0.309644,0.309893,0.309912,0.309587,0.309581,
0.117308,0.400000,0.400000,0.290428,0.290676,0.290693,0.290373,0.290377,
0.049668,0.400000,0.400000,0.262238,0.262485,0.262501,0.262182,0.262190,
0.038087,0.400000,0.400000,0.265757,0.266007,0.266023,0.265695,0.265701,
0.097056,0.400000,0.400000,0.294813,0.295063,0.295080,0.294750,0.294747,
0.146194,0.400000,0.400000,0.309657,0.309907,0.309924,0.309599,0.309594,
0.117366,0.400000,0.400000,0.290460,0.290707,0.290724,0.290406,0.290408,
0.049719,0.400000,0.400000,0.262262,0.262507,0.262523,0.262205,0.262212,
